LocationName,Latitude,Longitude
Peffermill,55.932180,-3.150260
Titwood (Clydesdale Home),55.836348,-4.284011
Edinburgh Academy North Pitch,55.96593,-3.22322
Fettes College - Wetwoods Health Club,55.96408,-3.23009
Falkirk High School,55.99783,-3.80695
Auchenhowie,55.93587,-4.31021
Garscube Sports Complex,55.90332,-4.31562
Stepps Playing Fields,55.88294,-4.16240
St Columbas School Kilmacolm,55.88839,-4.62556
Meadowmill,55.95287,-2.96055
Woodmill High School,56.07093,-3.42610
Glasgow Green (Glasgow National Hockey Centre),55.84554,-4.23719
Forthbank,56.11985,-3.91166
St Andrews University Sports Centre,56.33863,-2.81349
Gannochy Sport Centre,56.14504,-3.92450
Dean's High School Livingston,55.90648,-3.54978
Meggetland,55.92721,-3.23433
Counteswells School Aberdeen,57.13655,-2.21259
Goldenacre,55.97038,-3.20369
MES (Mary Erskine School),55.95182,-3.25388
Tweedbank Sports Complex,55.60264,-2.75993
